SC,名称,株価
6414,川重冷熱工業,842
6416,桂川電機,144
6417,SANKYO,3530
6418,日本金銭機械,1150
6419,マースエンジニアリング,2305
6420,福島工業,4170
6424,高見沢サイバネティックス,465
6425,ユニバーサルエンターテインメント,2941
6428,オーイズミ,557
6430,ダイコク電機,1681
6432,竹内製作所,2250
6433,ヒーハイスト精工,540
6436,アマノ,2702
6439,中日本鋳工,102
6440,JUKI,1536
6444,サンデンホールディングス,413
6445,蛇の目ミシン工業,761
6448,ブラザー工業,2609
6454,マックス,1531
6455,モリタホールディングス,1734
6457,グローリー,3940
6458,新晃工業,1852
6459,大和冷機工業,1229
6460,セガサミーホールディングス,1501
6461,日本ピストンリング,2326
6462,リケン,5410
6463,TPR,3525
6464,ツバキ・ナカシマ,2450
6465,ホシザキ,10140
6466,東亜バルブエンジニアリング,1249
6467,ニチダイ,551
6469,放電精密加工研究所,1067
6470,大豊工業,1655
6471,日本精工,1415
6472,NTN,463
6473,ジェイテクト,1509
6474,不二越,613
6478,ダイベア,404
6479,ミネベアミツミ,1858
6480,日本トムソン,625
6481,THK,3825
6482,ユーシン精機,3055
6484,KVK,788
6485,前澤給装工業,1831
6486,イーグル工業,1963
6488,ヨシタケ,1020
6489,前澤工業,437
6490,日本ピラー工業,1648
6492,岡野バルブ製造,2900
6493,日鍛バルブ,398
6494,NFKホールディングス,76
6495,宮入バルブ製作所,119
6496,中北製作所,640
6497,ハマイ,1081
6498,キッツ,877
6501,日立製作所,782.6
6502,東芝,317
6503,三菱電機,1722.5
6504,富士電機,619
6505,東洋電機製造,2350
6506,安川電機,3500
6507,シンフォニアテクノロジー,495
6508,明電舎,397
6513,オリジン電気,368
6516,山洋電気,1324
6517,デンヨー,2010
6518,三相電機,596
6531,リファインバース,2481
6532,ベイカレント・コンサルティング,1966
6533,Orchestraホールディングス,2572
6534,D.A.コンソーシアムホールディングス,1875
6535,アイモバイル,1046
6537,WASHハウス,2490
6538,キャリアインデックス,3120
6539,MS-Japan,3565
6540,船場,1234
6541,グレイステクノロジー,4610
6542,FCホールディングス,832
6543,日宣,2250
6544,ジャパンエレベーターサービスホールディングス,2222
6545,インターネットインフィニティー,8670
6546,フルテック,1082
6547,グリーンズ,1256
6548,旅工房,2380
6549,ディーエムソリューションズ,5490
6550,Fringe81,4140
6551,ツナグ・ソリューションズ,4715
6552,GameWith,2889
6553,ソウルドアウト,2330
6554,エスユーエス,4110
6584,三櫻工業,894
6586,マキタ,4545
6588,東芝テック,622
6590,芝浦メカトロニクス,336
6591,西芝電機,181
6592,マブチモーター,5410
6594,日本電産,13425
6615,ユー・エム・シー・エレクトロニクス,2140
6616,トレックス・セミコンダクター,1688
6617,東光高岳,1975
6618,大泉製作所,1300
6619,ダブル・スコープ,2423
6620,宮越ホールディングス,530
6622,ダイヘン,978
6623,愛知電機,3435
6624,田淵電機,288
6625,JALCOホールディングス,108
6626,SEMITEC,5030
6627,テラプローブ,1229
6628,オンキヨー,212
6629,テクノホライゾン・ホールディングス,255
6630,ヤーマン,12940
6632,JVCケンウッド,318
6633,C＆Gシステムズ,403
6634,ネクスグループ,408
6635,大日光・エンジニアリング,780
6636,ソルガム・ジャパン・ホールディングス,223
6637,寺崎電気産業,1502
6638,ミマキエンジニアリング,829
6639,コンテック,1475
6640,第一精工,2554
6641,日新電機,1375
6643,戸上電機製作所,461
6644,大崎電気工業,835
6645,オムロン,5850
6647,森尾電機,260
6648,かわでん,2304
6651,日東工業,2045
6652,IDEC,2387
6653,正興電機製作所,695
6654,不二電機工業,1350
6655,東洋電機,995
6656,インスペック,1346
6658,シライ電子工業,307
6659,メディアリンクス,505
6662,ユビテック,451
6663,太洋工業,621
6664,オプトエレクトロニクス,844
6666,リバーエレテック,490
6668,アドテックプラズマテクノロジー,1630
6669,シーシーエス,2986
6670,MCJ,1244
6674,ジーエス・ユアサコーポレーション,574
6675,サクサホールディングス,208
6676,メルコホールディングス,3680
6677,エスケーエレクトロニクス,1126
6678,テクノメディカ,1940
6694,ズーム,1731
6696,トランザス,2580
6701,日本電気,296
6702,富士通,819.3
6703,沖電気工業,1464
6704,岩崎通信機,88
6706,電気興業,578
6707,サンケン電気,574
6709,明星電気,107
6715,ナカヨ,379
6716,テクニカル電子,229
6718,アイホン,1793
6719,富士通コンポーネント,1060
6721,ウインテスト,165
6722,エイアンドティー,902
6723,ルネサスエレクトロニクス,1229
6724,セイコーエプソン,2804
6727,ワコム,523
6728,アルバック,6350
6730,アクセル,747
6731,ピクセラ,209
6734,ニューテック,848
6736,サン電子,722
6737,EIZO,4555
6740,ジャパンディスプレイ,191
6741,日本信号,1213
6742,京三製作所,554
6743,大同信号,525
6744,能美防災,1683
6745,ホーチキ,2104
6747,KIホールディングス,267
6748,星和電機,419
6750,エレコム,2225
6751,日本無線,1690
6752,パナソニック,1611.5
6753,シャープ,341
6754,アンリツ,855
6755,富士通ゼネラル,2276
6756,日立国際電気,2920
6757,OSGコーポレーション,841
6758,ソニー,4241
6762,TDK,7380
6763,帝国通信工業,226
6768,タムラ製作所,630
6769,ザインエレクトロニクス,1176
6770,アルプス電気,3000
6771,池上通信機,156
6772,東京コスモス電機,281
6773,パイオニア,205
6775,TBグループ,59
6776,天昇電気工業,267
6777,santec,1386
6778,アルチザネットワークス,850
6779,日本電波工業,845
6785,鈴木,995
6786,RVH,579
6787,メイコー,2269
6788,日本トリム,4640
6789,ローランドディー.ジー.,2750
6794,フォスター電機,2368
6796,クラリオン,437
6797,名古屋電機工業,472
6798,SMK,479
6800,ヨコオ,1423
6803,ティアック,45
6804,ホシデン,1719
6806,ヒロセ電機,15810
6807,日本航空電子工業,1789
6809,TOA,1172
6810,日立マクセル,2536
6814,古野電気,694
6815,ユニデンホールディングス,279
6816,アルパイン,2067
6817,スミダコーポレーション,2057
6819,伊豆シャボテンリゾート,102
6820,アイコム,2684
6822,大井電気,289
6823,リオン,2202
6824,新コスモス電機,1465
6826,本多通信工業,1815
6832,アオイ電子,5030
6834,精工技研,1935
6835,アライドテレシスホールディングス,60
6836,ぷらっとホーム,2846
6837,京写,501
6838,多摩川ホールディングス,112
6839,船井電機,859
6840,AKIBAホールディングス,329
6841,横河電機,1867
6844,新電元工業,694
6845,アズビル,4875
6846,中央製作所,1449
6848,東亜ディーケーケー,684
6849,日本光電工業,2509
6850,チノー,1292
6852,テクノ・セブン,207
6853,共和電業,425
6855,日本電子材料,631
6856,堀場製作所,6250
6857,アドバンテスト,2039
6858,小野測器,734
6859,エスペック,2237
6861,キーエンス,59530
6862,ミナトホールディングス,107
6863,ニレコ,878
6864,エヌエフ回路設計ブロック,1477
6866,日置電機,2288
6867,リーダー電子,395
6869,シスメックス,6970
6870,日本フェンオール,1562
6871,日本マイクロニクス,1003
6874,協立電機,2245
6875,メガチップス,3745
6877,OBARA　GROUP,5900
6879,イマジカ・ロボットホールディングス,817
6881,キョウデン,505
6882,三社電機製作所,797
6888,アクモス,303
6889,オーデリック,5200
6890,フェローテックホールディングス,1820
6894,パルステック工業,201
6895,ダイヤモンド電機,633
6896,北川工業,1268
6897,ツインバード工業,751
6898,トミタ電機,2177
6899,ASTI,985
6901,澤藤電機,567
6902,デンソー,5372
6904,原田工業,829
6905,コーセル,1484
6907,ジオマテック,1017
6908,イリソ電子工業,6170
6911,新日本無線,830
6912,菊水電子工業,1210
6914,オプテックスグループ,4280
6915,千代田インテグレ,2468
6916,アイ・オー・データ機器,1151
6918,アバールデータ,1888
6919,ケル,1196
6920,レーザーテック,2299
6923,スタンレー電気,3765
6924,岩崎電気,197
6925,ウシオ電機,1487
6926,岡谷電機産業,484
6927,ヘリオステクノホールディング,713
6928,エノモト,7650
6929,日本セラミック,3020
6930,日本アンテナ,621
6932,遠藤照明,1371
6937,古河電池,1148
6938,双信電機,379
6941,山一電機,1992
6942,ソフィアホールディングス,204
6943,NKKスイッチズ,518
6944,アイレックス,250
6945,富士通フロンテック,2133
6946,日本アビオニクス,294
6947,図研,1665
6951,日本電子,532
6952,カシオ計算機,1562
6954,ファナック,22080
6955,FDK,241
6957,芝浦電子,4415
6958,日本シイエムケイ,1087
6960,フクダ電子,8200
6961,エンプラス,4620
6962,大真空,1861
6963,ローム,9190
6964,サンコー,460
6965,浜松ホトニクス,3520
6966,三井ハイテック,2560
6967,新光電気工業,757
6969,松尾電機,97
6971,京セラ,6880
6972,エルナー,103
6973,協栄産業,258
6976,太陽誘電,1716
6977,日本抵抗器製作所,1197
6981,村田製作所,16750
6982,リード,137
6985,ユーシン,811
6986,双葉電子工業,2131
6988,日東電工,9398
6989,北陸電気工業,156
6993,大黒屋ホールディングス,82
6994,指月電機製作所,844
6995,東海理化電機製作所,2115
6996,ニチコン,1324
6997,日本ケミコン,387
6998,日本タングステン,273
6999,KOA,2050
7003,三井造船,138
7004,日立造船,569
7011,三菱重工業,431.9
7012,川崎重工業,357
7013,IHI,381
7014,名村造船所,633
7018,内海造船,194
7021,ニッチツ,216
7022,サノヤスホールディングス,287
7102,日本車輌製造,294
7105,ニチユ三菱フォークリフト,768
7122,近畿車輛,2548
7148,FPG,1277
7150,島根銀行,1311
7157,ライフネット生命保険,369
7161,じもとホールディングス,200
7162,アストマックス,402
7164,全国保証,4415
7167,めぶきフィナンシャルグループ,398
7169,ニュートン・フィナンシャル・コンサルティング,1997
7172,ジャパンインベストメントアドバイザー,2797
7173,東京TYフィナンシャルグループ,2575
7175,今村証券,1161
7177,GMOクリックホールディングス,699
7180,九州フィナンシャルグループ,641
7181,かんぽ生命保険,2315
7182,ゆうちょ銀行,1370
7183,あんしん保証,467
7184,富山第一銀行,510
7185,ヒロセ通商,2222
7186,コンコルディア・フィナンシャルグループ,542.3
7187,ジェイリース,1641
7189,西日本フィナンシャルホールディングス,1141
7190,マーキュリアインベストメント,1452
7191,イントラスト,1021
7192,日本モーゲージサービス,1974
7201,日産自動車,1129
7202,いすゞ自動車,1469
7203,トヨタ自動車,6480
7205,日野自動車,1337
7208,カネミツ,1330
7211,三菱自動車工業,846
7212,エフテック,1789
7213,レシップホールディングス,950
7214,GMB,1368
7215,ファルテック,1366
7217,テイン,517
7218,田中精密工業,790
7219,エッチ・ケー・エス,875
7220,武蔵精密工業,3240
7222,日産車体,1235
7224,新明和工業,1006
7226,極東開発工業,1772
7227,アスカ,925
7228,デイトナ,1010
7229,ユタカ技研,2498
7230,日信工業,1989
7231,トピー工業,3665
7235,東京ラヂエーター製造,1050
7236,ティラド,453
7238,曙ブレーキ工業,350
7239,タチエス,1991
7240,NOK,2536
7241,フタバ産業,1259
7242,KYB,629
7244,市光工業,713
7245,大同メタル工業,995
7246,プレス工業,605
7247,ミクニ,513
7249,尾張精機,307
7250,太平洋工業,1409
7251,ケーヒン,1838
7254,ユニバンス,315
7255,桜井製作所,587
7256,河西工業,1655
7259,アイシン精機,5510
7260,富士機工,737
7261,マツダ,1623.5
7264,ムロコーポレーション,1686
7265,エイケン工業,776
7266,今仙電機製作所,1263
7267,本田技研工業,3245
7268,タツミ,413
7269,スズキ,5936
7270,SUBARU,3866
7271,安永,3140
7272,ヤマハ発動機,3225
7273,イクヨ,159
7274,ショーワ,1294
7276,小糸製作所,7150
7277,TBK,495
7278,エクセディ,3255
7279,ハイレックスコーポレーション,2771
7280,ミツバ,1629
7282,豊田合成,2618
7283,愛三工業,1009
7284,盟和産業,1274
7287,日本精機,2364
7291,日本プラスト,1228
7292,村上開明堂,2772
7294,ヨロズ,2294
7296,エフ・シー・シー,2481
7297,カーメイト,652
7298,八千代工業,1300
7299,フジオーゼックス,501
7305,新家工業,212
7308,ツノダ,4250
7309,シマノ,14630
7313,テイ・エステック,3500
7314,小田原機器,605
7315,IJTテクノロジーホールディングス,880
7399,ナンシン,608
7404,昭和飛行機工業,1242
7408,ジャムコ,2524
7412,アトム,855
7413,創健社,198
7414,小野建,1874
7416,はるやまホールディングス,981
7417,南陽,1855
7419,ノジマ,2073
7420,佐鳥電機,960
7421,カッパ・クリエイト,1292
7422,東邦レマック,488
7425,初穂商事,3700
7426,山大,302
7427,エコートレーディング,675
7433,伯東,1642
7434,オータケ,1672
7435,ナ・デックス,982
7438,コンドーテック,1094
7441,Misumi,1895
7442,中山福,772
7443,横浜魚類,556
7444,ハリマ共和物産,1985
7445,ライトオン,934
7446,東北化学薬品,650
7447,ナガイレーベン,2978
7448,ジーンズメイト,659
7450,サンデー,1695
7451,三菱食品,3165
7453,良品計画,33400
7455,三城ホールディングス,476
7456,松田産業,1622
7458,第一興商,5320
7459,メディパルホールディングス,1928
7460,ヤギ,1839
7461,キムラ,494
7462,ダイヤ通商,835
7463,アドヴァン,947
7464,セフテック,516
7465,マックスバリュ北海道,3225
7466,SPK,2937
7467,萩原電気,2730
7472,鳥羽洋行,2280
7475,アルビス,4250
7476,アズワン,6290
7477,ムラキ,113
7480,スズデン,1315
7481,尾家産業,1298
7482,シモジマ,1113
7483,ドウシシャ,2417
7485,岡谷鋼機,9390
7486,サンリン,630
7487,小津産業,2127
7488,ヤガミ,1218
7490,日新商事,838
7494,コナカ,552
7500,西川計測,2413
7501,ティムコ,533
7502,プラザクリエイト,362
7504,高速,1189
7505,扶桑電通,2700
7506,ハウスオブローゼ,1560
7508,G-7ホールディングス,2201
7509,アイエーグループ,703
7510,たけびし,1465
7512,イオン北海道,619
7513,コジマ,394
7514,ヒマラヤ,920
7515,マルヨシセンター,395
7516,コーナン商事,2062
7517,黒田電気,1942
7518,ネットワンシステムズ,1173
7519,五洋インテックス,760
7520,エコス,1144
7521,ムサシ,1900
7522,ワタミ,1574
7523,アールビバン,645
7524,マルシェ,833
7525,リックス,1738
7527,システムソフト,156
7531,清和中央ホールディングス,6010
7532,ドンキホーテホールディングス,4205
7533,グリーンクロス,1990
7537,丸文,845
7538,大水,249
7539,アイナボホールディングス,1070
7544,スリーエフ,354
7545,西松屋チェーン,1234
7550,ゼンショーホールディングス,2058
7551,ウェッズ,689
7552,ハピネット,1692
7554,幸楽苑ホールディングス,1751
7555,大田花き,781
7559,ジーエフシー,1380
7561,ハークスレイ,1152
7562,安楽亭,4750
7564,ワークマン,3350
7565,萬世電機,849
7567,栄電子,394
7570,橋本総業ホールディングス,1639
7571,ヤマノホールディングス,115
7575,日本ライフライン,6080
7577,パスポート,502
7578,ニチリョク,232
7581,サイゼリヤ,3075
7585,かんなん丸,1850
7587,PALTEK,810
7590,タカショー,437
7591,エクセル,1828
7593,VTホールディングス,631
7594,マルカキカイ,1820
7595,アルゴグラフィックス,3380
7596,魚力,1194
7597,東京貴宝,293
7599,IDOM,664
7600,日本エム・ディ・エム,1061
7601,ポプラ,602
7602,カーチスホールディングス,241
7603,マックハウス,884
7604,梅の花,2865
7605,フジ・コーポレーション,2096
7606,ユナイテッドアローズ,4045
7607,進和,2216
7608,エスケイジャパン,286
7609,ダイトロン,1934
7610,テイツー,52
7611,ハイデイ日高,3400
7612,Nuts,207
7613,シークス,4700
7614,オーエムツーネットワーク,1314
7615,京都きもの友禅,933
7616,コロワイド,2085
7618,ピーシーデポコーポレーション,894
7619,田中商事,738
7621,うかい,3200
7623,サンオータス,337
7624,NaITO,190
7625,グローバルダイニング,256
7628,オーハシテクニカ,1530
7630,壱番屋,4730
7634,星医療酸器,4250
7635,杉田エース,1030
7636,ハンズマン,1548
7637,白銅,2012
7638,ニューアート,29
7640,トップカルチャー,498
7643,ダイイチ,1342
7646,PLANT,1315
7647,音通,35
7648,トーカン,2070
7649,スギホールディングス,5880
7701,島津製作所,2204
7702,JMS,337
7703,川澄化学工業,749
7705,ジーエルサイエンス,1661
7707,プレシジョン・システム・サイエンス,577
7709,クボテック,559
7711,助川電気工業,725
7713,シグマ光機,1374
7715,長野計器,1090
7716,ナカニシ,4850
7717,ブイ・テクノロジー,18810
7718,スター精密,1866
7719,東京衡機,38
7721,東京計器,306
7722,国際計測器,1182
7723,愛知時計電機,3980
7725,インターアクション,732
7726,黒田精工,578
7727,オーバル,278
7729,東京精密,3815
7730,マニー,2647
7731,ニコン,1865
7732,トプコン,2005
7733,オリンパス,3760
7734,理研計器,2181
7735,SCREENホールディングス,7390
7739,キヤノン電子,2238
7740,タムロン,2090
7741,HOYA,6170
7743,シード,4090
7744,ノーリツ鋼機,1442
7745,エー・アンド・デイ,515
7746,岡本硝子,222
7747,朝日インテック,5820
7748,ホロン,675
7749,メディキット,5200
7751,キヤノン,3799
7752,リコー,1074
7758,セコニックホールディングス,1288
7760,IMV,745
7762,シチズン時計,773
7768,ジェコー,478
7769,リズム時計工業,231
7771,日本精密,151
7774,ジャパン・ティッシュ・エンジニアリング,1146
7775,大研医器,778
7776,セルシード,482
7777,スリー・ディー・マトリックス,680
7779,CYBERDYNE,1430
7780,メニコン,4415
7781,平山ホールディングス,1819
7782,シンシア,840
7810,クロスフォー,1013
7811,中本パックス,3205
7812,クレステック,1400
7813,プラッツ,2923
7814,日本創発グループ,799
7815,東京ボード工業,1320
7816,スノーピーク,2763
7817,パラマウントベッドホールディングス,4865
7818,トランザクション,1003
7819,SHO-BI,536
7820,ニホンフラッシュ,1597
7821,前田工繊,1830
7822,永大産業,538
7823,アートネイチャー,709
7825,ダンロップスポーツ,1519
7826,フルヤ金属,3650
7827,オービス,1153
7829,サマンサタバサジャパンリミテッド,457
7831,ウイルコホールディングス,217
7832,バンダイナムコホールディングス,3650
7833,アイフィスジャパン,516
7834,マルマン,213
7836,アビックス,145
7837,アールシーコア,1150
7838,共立印刷,343
7839,SHOEI,3340
7840,フランスベッドホールディングス,1038
7841,遠藤製作所,630
7844,マーベラス,945
7846,パイロットコーポレーション,5040
7847,グラファイトデザイン,580
7849,スターツ出版,2156
7850,総合商研,809
7851,カワセコンピュータサプライ,320
7855,カーディナル,788
7856,萩原工業,3560
7857,セキ,1455
7859,アルメディオ,216
7860,エイベックス・グループ・ホールディングス,1447
7862,トッパン・フォームズ,1159
7863,平賀,477
7864,フジシールインターナショナル,3395
7865,ピープル,1775
7867,タカラトミー,1472
7868,廣済堂,352
7869,日本フォームサービス,293
7870,福島印刷,421
7871,フクビ化学工業,703
7872,As-meエステール,709
7873,アーク,107
7874,レック,2972
7875,竹田印刷,634
7877,永大化工,345
7878,光・彩,2540
7879,ノダ,1046
7883,サンメッセ,463
7885,タカノ,1160
7886,ヤマト・インダストリー,137
7887,南海プライウッド,604
7888,三光合成,410
7889,桑山,600
7891,日本ユピカ,584
7893,プロネクサス,1295
7894,丸東産業,3120
7895,中央化学,432
7896,セブン工業,256
7897,ホクシン,200
7898,ウッドワン,361
7899,MICS化学,367
7901,マツモト,298
7902,ソノコム,1066
7903,名古屋木材,1611
7905,大建工業,2687
7906,ヨネックス,843
7908,きもと,240
7911,凸版印刷,1090
7912,大日本印刷,1310
7913,図書印刷,530
7914,共同印刷,375
7915,日本写真印刷,2912
7916,光村印刷,241
7917,藤森工業,3795
7918,ヴィア・ホールディングス,865
7919,野崎印刷紙業,166
7921,宝印刷,1636
7922,三光産業,420
7923,トーイン,584
7925,前澤化成工業,1229
7927,ムトー精工,1270
7928,旭化学工業,430
7931,未来工業,1690
7932,ニッピ,805
7936,アシックス,1653
7937,ツツミ,1876
7938,リーガルコーポレーション,288
7939,研創,405
7940,ウェーブロックホールディングス,1410
7942,JSP,3375
7943,ニチハ,4040
7945,コマニー,1556
7946,光陽社,161
7947,エフピコ,5560
7949,小松ウオール工業,1972
7950,日本デコラックス,771
7951,ヤマハ,3855
7952,河合楽器製作所,2222
7953,菊水化学工業,499
7955,クリナップ,903
7956,ピジョン,3995
7957,フジコピアン,1740
7958,天馬,2250
7959,オリバー,1626
7961,兼松サステック,239
7962,キングジム,1008
7963,興研,1888
7965,象印マホービン,1060
7966,リンテック,3030
7970,信越ポリマー,1017
7971,東リ,398
7972,イトーキ,858
7974,任天堂,38250
7975,リヒトラブ,2062
7976,三菱鉛筆,2813
7979,松風,1297
7980,重松製作所,786
7981,タカラスタンダード,1972
7983,ミロク,580
7984,コクヨ,1823
7985,ネポン,213
7986,日本アイ・エス・ケイ,180
7987,ナカバヤシ,330
7988,ニフコ,6760
7989,立川ブラインド工業,1108
7990,グローブライド,1934
7991,マミヤ・オーピー,1185
7992,セーラー万年筆,236
7994,岡村製作所,1238
7995,日本バルカー工業,2867
7997,くろがね工作所,1492
7999,MUTOHホールディングス,250
8001,伊藤忠商事,1797
8002,丸紅,737.9
8005,スクロール,389
8006,ユアサ・フナショク,322
8007,高島,233
8008,ヨンドシーホールディングス,3195
8011,三陽商会,1629
8012,長瀬産業,1820
8013,ナイガイ,595
8014,蝶理,1977
8015,豊田通商,3575
8016,オンワードホールディングス,821
8018,三共生興,420
8020,兼松,271
8022,美津濃,651
8023,大興電子通信,652
8025,ツカモトコーポレーション,124
8028,ユニー・ファミリーマートホールディングス,5590
8029,ルック,362
8030,中央魚類,281
8031,三井物産,1659.5
8032,日本紙パルプ商事,477
8035,東京エレクトロン,16645
8036,日立ハイテクノロジーズ,3975
8037,カメイ,1711
8038,東都水産,1934
8039,築地魚市場,1256
8040,東京ソワール,195
8041,OUGホールディングス,287
8043,スターゼン,5230
8044,大都魚類,126
8045,横浜丸魚,595
8046,丸藤シートパイル,328
8050,セイコーホールディングス,491
8051,山善,1163
8052,椿本興業,577
8053,住友商事,1585.5
8056,日本ユニシス,1694
8057,内田洋行,3480
8058,三菱商事,2596
8059,第一実業,597
8060,キヤノンマーケティングジャパン,2555
8061,西華産業,593
8065,佐藤商事,1114
8066,三谷商事,4300
8068,菱洋エレクトロ,1989
8070,東京産業,488
8071,東海エレクトロニクス,3155
8072,日本出版貿易,156
8074,ユアサ商事,3975
8075,神鋼商事,3880
8076,カノークス,1015
8077,小林産業,354
8078,阪和興業,760
8079,正栄食品工業,4590
8081,カナデン,1156
8084,菱電商事,794
8085,ナラサキ産業,330
8086,ニプロ,1462
8087,フルサト工業,1744
8088,岩谷産業,659
8089,すてきナイスグループ,152
8090,昭光通商,105
8091,ニチモウ,202
8093,極東貿易,326
8095,イワキ,481
8096,兼松エレクトロニクス,3325
8097,三愛石油,1208
8098,稲畑産業,1445
8101,GSIクレオス,223
8103,明和産業,425
8104,クワザワ,620
8105,堀田丸正,387
8107,キムラタン,7
8108,ヤマエ久野,1275
8111,ゴールドウイン,7610
8113,ユニ・チャーム,2571
8114,デサント,1442
8115,ムーンバット,914
8117,中央自動車工業,1749
8118,キング,485
8119,三栄コーポレーション,3875
8123,川辺,198
8125,ワキタ,1338
8127,ヤマトインターナショナル,476
8129,東邦ホールディングス,2089
8130,サンゲツ,1990
8131,ミツウロコグループホールディングス,864
8132,シナネンホールディングス,2226
8133,伊藤忠エネクス,1142
8135,ゼット,194
8136,サンリオ,2122
8137,サンワテクノス,1819
8138,三京化成,272
8139,ナガホリ,230
8140,リョーサン,4695
8141,新光商事,1943
8142,トーホー,2637
8143,ラピーヌ,801
8144,電響社,1396
8145,中部水産,265
8147,トミタ,1006
8148,上原成商事,861
8150,三信電気,1661
8151,東陽テクニカ,1023
8152,ソマール,286
8153,モスフードサービス,3535
8154,加賀電子,3130
8155,三益半導体工業,1762
8157,都築電気,858
8158,ソーダニッカ,574
8159,立花エレテック,1696
8160,木曽路,2759
8163,サトレストランシステムズ,935
8165,千趣会,676
8166,タカキュー,225
8167,リテールパートナーズ,1224
8168,ケーヨー,779
8171,マックスバリュ中部,1275
8173,上新電機,1830
8174,日本瓦斯,3480
8179,ロイヤルホールディングス,2791
8181,東天紅,2466
8182,いなげや,1958
8184,島忠,2788
8185,チヨダ,2765
8186,大塚家具,839
8190,ヤマナカ,873
8191,光製作所,917
8194,ライフコーポレーション,2799
8198,マックスバリュ東海,2110
8200,リンガーハット,2558
8201,さが美,119
8202,ラオックス,480
8203,ミスターマックス・ホールディングス,532
8205,シャクリー・グローバル・グループ,875
8207,テンアライド,423
8208,エンチョー,435
8209,フレンドリー,218
8214,AOKIホールディングス,1409
8215,銀座山形屋,1716
8217,オークワ,1199
8218,コメリ,3210
8219,青山商事,3960
8225,タカチホ,178
8226,理経,217
8227,しまむら,13520
8228,マルイチ産商,1244
8230,はせがわ,496
8233,高島屋,1006
8237,松屋,1041
8242,エイチ・ツー・オーリテイリング,1886
8244,近鉄百貨店,3700
8247,大和,581
8249,テクノアソシエ,1284
8251,パルコ,1327
8252,丸井グループ,1601
8253,クレディセゾン,1997
8254,さいか屋,528
8255,アクシアルリテイリング,4455
8256,プロルート丸光,211
8257,山陽百貨店,1371
8260,井筒屋,461
8267,イオン,1616.5
8273,イズミ,5890
8274,東武ストア,3085
8275,フォーバル,704
8276,平和堂,2495
8278,フジ,2791
8279,ヤオコー,5320
8281,ゼビオホールディングス,2112
8282,ケーズホールディングス,2404
8283,PALTAC,4250
8285,三谷産業,399
8287,マックスバリュ西日本,1676
8289,Olympicグループ,576
8291,日産東京販売ホールディングス,391
8293,ATグループ,2725
8298,ファミリー,404
8301,日本銀行（優先出資証券）,37700
8303,新生銀行,171
8304,あおぞら銀行,422
8306,三菱UFJフィナンシャル・グループ,681.6
8308,りそなホールディングス,542.7
8309,三井住友トラスト・ホールディングス,3880
8316,三井住友フィナンシャルグループ,4161
8324,第四銀行,511
8325,北越銀行,2469
8331,千葉銀行,739
8334,群馬銀行,642
8336,武蔵野銀行,3085
8337,千葉興業銀行,556
8338,筑波銀行,361
8341,七十七銀行,514
8342,青森銀行,425
8343,秋田銀行,342
8344,山形銀行,520
8345,岩手銀行,4330
8346,東邦銀行,394
8349,東北銀行,150
8350,みちのく銀行,190
8354,ふくおかフィナンシャルグループ,481
8355,静岡銀行,964
8356,十六銀行,339
8358,スルガ銀行,2323
8359,八十二銀行,653
8360,山梨中央銀行,448
8361,大垣共立銀行,295
8362,福井銀行,285
8363,北國銀行,459
8364,清水銀行,3330
8365,富山銀行,3790
8366,滋賀銀行,580
8367,南都銀行,3035
8368,百五銀行,461
8369,京都銀行,1044
8370,紀陽銀行,1725
8374,三重銀行,2585
8377,ほくほくフィナンシャルグループ,1654
8379,広島銀行,428
8381,山陰合同銀行,893
8382,中国銀行,1437
8383,鳥取銀行,1692
8385,伊予銀行,817
8386,百十四銀行,368
8387,四国銀行,325
8388,阿波銀行,686
8392,大分銀行,446
8393,宮崎銀行,380
8395,佐賀銀行,264
8396,十八銀行,263
8397,沖縄銀行,4420
8398,筑邦銀行,219
8399,琉球銀行,1626
8410,セブン銀行,402
8411,みずほフィナンシャルグループ,191.2
8416,高知銀行,124
8418,山口フィナンシャルグループ,1258
8421,信金中央金庫（優先出資証券）,
8423,アクリーティブ,444
8424,芙蓉総合リース,6830
8425,興銀リース,2812
8439,東京センチュリー,4700
8462,フューチャーベンチャーキャピタル,1438
8473,SBIホールディングス,1554
8508,Jトラスト,896
8511,日本証券金融,569
8515,アイフル,390
8518,日本アジア投資,394
8519,ポケットカード,1063
8521,長野銀行,1928
8522,名古屋銀行,4215
8524,北洋銀行,327
8527,愛知銀行,6440
8529,第三銀行,1785
8530,中京銀行,2324
8537,大光銀行,235
8540,福岡中央銀行,363
8541,愛媛銀行,1426
8542,トマト銀行,1496
8543,みなと銀行,1811
8544,京葉銀行,478
8545,関西アーバン銀行,1301
8550,栃木銀行,451
8551,北日本銀行,3060
8554,南日本銀行,154
8558,東和銀行,113
8559,豊和銀行,78
8560,宮崎太陽銀行,172
8562,福島銀行,89
8563,大東銀行,170
8566,リコーリース,4020
8570,イオンフィナンシャルサービス,2308
8572,アコム,439
8584,ジャックス,540
8585,オリエントコーポレーション,184
8586,日立キャピタル,2554
8589,アプラスフィナンシャル,107
8591,オリックス,1765
8593,三菱UFJリース,557
8594,中道リース,350
8595,ジャフコ,5460
8596,九州リースサービス,788
8600,トモニホールディングス,465
8601,大和証券グループ本社,615.4
8604,野村ホールディングス,614.8
8609,岡三証券グループ,612
8613,丸三証券,934
8614,東洋証券,247
