SC,名称,株価
2467,バルクホールディングス,131
2468,フュートレック,906
2469,ヒビノ,1960
2471,エスプール,2828
2475,WDBホールディングス,2606
2477,比較.com,1709
2479,ジェイテック,214
2480,システム・ロケーション,1119
2481,タウンニュース社,413
2483,翻訳センター,3655
2484,夢の街創造委員会,1751
2485,ティア,858
2487,CDG,1928
2488,日本サード・パーティ,997
2489,アドウェイズ,494
2491,バリューコマース,731
2492,インフォマート,749
2493,イーサポートリンク,1179
2497,ユナイテッド,2541
2498,ACKグループ,1320
2499,日本和装ホールディングス,284
2501,サッポロホールディングス,3130
2502,アサヒグループホールディングス,4560
2503,キリンホールディングス,2479
2531,宝ホールディングス,1039
2533,オエノンホールディングス,280
2538,ジャパン・フード＆リカー・アライアンス,47
2540,養命酒製造,2197
2551,マルサンアイ,3820
2573,北海道コカ・コーラボトリング,714
2579,コカ・コーラボトラーズジャパン,3810
2586,フルッタフルッタ,859
2587,サントリー食品インターナショナル,5100
2588,プレミアムウォーターホールディングス,1249
2590,ダイドーグループホールディングス,5350
2593,伊藤園,3825
2594,キーコーヒー,2194
2597,ユニカフェ,1005
2599,ジャパンフーズ,1379
2602,日清オイリオグループ,743
2607,不二製油グループ本社,2922
2608,ボーソー油脂,169
2612,かどや製油,5610
2613,J-オイルミルズ,4040
2651,ローソン,7220
2652,まんだらけ,647
2653,イオン九州,1776
2654,アスモ,77
2655,マックスバリュ東北,1278
2656,ベクター,552
2659,サンエー,4890
2664,カワチ薬品,2668
2666,オートウェーブ,117
2667,イメージワン,383
2668,タビオ,1040
2669,カネ美食品,3400
2670,エービーシー・マート,5790
2673,夢みつけ隊,151
2674,ハードオフコーポレーション,1131
2675,ダイナック,1686
2676,高千穂交易,1063
2678,アスクル,3480
2681,ゲオホールディングス,1539
2683,魚喜,1470
2685,アダストリア,2437
2686,ジーフット,764
2687,シー・ヴイ・エス・ベイエリア,700
2689,カワニシホールディングス,1518
2692,伊藤忠食品,5040
2693,YKT,191
2694,ジー・テイスト,83
2695,くらコーポレーション,4965
2698,キャンドゥ,1734
2700,木徳神糧,690
2702,日本マクドナルドホールディングス,4955
2703,日本ライトン,297
2705,大戸屋ホールディングス,2028
2706,ブロッコリー,673
2708,久世,885
2714,プラマテルズ,816
2715,エレマテック,2045
2719,キタムラ,736
2721,ジェイホールディングス,715
2722,アイケイ,6300
2726,パルグループホールディングス,3570
2729,JALUX,2628
2730,エディオン,1051
2733,あらた,4805
2734,サーラコーポレーション,877
2735,ワッツ,1229
2736,サダマツ,232
2737,トーメンデバイス,2595
2742,ハローズ,2478
2743,ピクセルカンパニーズ,261
2747,北雄ラッキー,593
2749,JPホールディングス,353
2750,石光商事,413
2751,テンポスバスターズ,1923
2752,フジオフードシステム,1742
2753,あみやき亭,4725
2754,東葛ホールディングス,451
2760,東京エレクトロンデバイス,1950
2761,トシン・グループ,3250
2762,三光マーケティングフーズ,982
2763,エフティグループ,927
2764,ひらまつ,602
2767,フィールズ,1111
2768,双日,301
2769,ヴィレッジヴァンガードコーポレーション,1083
2772,ゲンキー,4615
2773,ミューチュアル,881
2776,クリムゾン,94
2777,カッシーナ・イクスシー,910
2778,パレモ・ホールディングス,268
2780,コメ兵,1623
2782,セリア,6490
2784,アルフレッサホールディングス,2067
2788,アップルインターナショナル,340
2789,カルラ,460
2790,ナフコ,1776
2791,大黒天物産,5260
2792,ハニーズホールディングス,1258
2795,日本プリメックス,685
2796,ファーマライズホールディングス,577
2798,ワイズテーブルコーポレーション,2740
2801,キッコーマン,3465
2802,味の素,2157.5
2804,ブルドックソース,2215
2805,ヱスビー食品,7860
2806,ユタカフーズ,1893
2809,キユーピー,2644
2810,ハウス食品グループ本社,3500
2811,カゴメ,3475
2812,焼津水産化学工業,1186
2813,和弘食品,304
2814,佐藤食品工業,1383
2815,アリアケジャパン,8140
2816,ダイショー,1314
2818,ピエトロ,1643
2819,エバラ食品工業,2081
2820,やまみ,1706
2830,アヲハタ,2460
2831,はごろもフーズ,1403
2871,ニチレイ,2901
2872,セイヒョー,3140
2874,横浜冷凍,1081
2875,東洋水産,4165
2876,ジェーシー・コムサ,373
2877,日東ベスト,870
2882,イートアンド,2518
2883,大冷,2021
2884,ヨシムラ・フード・ホールディングス,3905
2892,日本食品化工,460
2894,石井食品,203
2897,日清食品ホールディングス,7020
2899,永谷園ホールディングス,1278
2901,石垣食品,224
2902,太陽化学,1304
2903,シノブフーズ,725
2904,一正蒲鉾,1287
2905,オーケー食品工業,124
2907,あじかん,1109
2908,フジッコ,2688
2910,ロック・フィールド,2008
2911,旭松食品,410
2914,日本たばこ産業,3696
2915,ケンコーマヨネーズ,2775
2916,仙波糖化工業,592
2917,大森屋,916
2918,わらべや日洋ホールディングス,2762
2919,マルタイ,545
2922,なとり,1950
2923,サトウ食品工業,3685
2924,イフジ産業,807
2925,ピックルスコーポレーション,1631
2926,篠崎屋,137
2927,AFC-HDアムスライフサイエンス,819
2928,RIZAPグループ,1926
2929,ファーマフーズ,385
2930,北の達人コーポレーション,1097
2931,ユーグレナ,1138
3001,片倉工業,1336
3002,グンゼ,522
3003,ヒューリック,1043
3004,神栄,158
3010,価値開発,241
3011,バナーズ,200
3020,アプライド,1719
3021,パシフィックネット,496
3022,山下医科器械,1705
3023,ラサ商事,1048
3024,クリエイト,558
3028,アルペン,2161
3030,ハブ,1010
3031,ラクーン,610
3032,ゴルフ・ドゥ,508
3034,クオール,1912
3035,ケイティケイ,387
3036,アルコニックス,1864
3038,神戸物産,5200
3040,ソリトンシステムズ,1220
3041,ビューティ花壇,300
3042,セキュアヴェイル,727
3045,カワサキ,1483
3046,ジンズ,6600
3047,TRUCK-ONE,214
3048,ビックカメラ,1269
3050,DCMホールディングス,1016
3053,ペッパーフードサービス,3750
3054,ハイパー,636
3055,ほくやく・竹山ホールディングス,654
3057,ゼットン,887
3058,三洋堂ホールディングス,1000
